subNo,I,U,I1,I2,I3,I4,U1,U2,U3,U4
272,0.265507800327948,0.787424953343559,1.02953027622812,0.1,0.27561849888143,0.148091849234601,1.40538434100052,0.990689798036412,0.1,0.829791758421798
273,1.63423910413511,1.83676430135987,1.91625874077229,1.60299965324988,1.50017387007875,1.49078442504118,1.76712919726755,2.00443962943248,1.79686436014448,1.83807477719738
275,1.30016248643265,1.10030817443891,1.59700107826015,1.4335270991303,1.16673179229897,1.00277488617255,1.36679139496904,1.20276846962074,1.03353980616346,0.767189549857324
276,1.71751923867883,1.73407527366768,1.90377060755409,1.83807477719738,1.63337417146514,1.49078442504118,1.83410371663373,1.80313585613333,1.69494968561465,1.56846636924651
277,1.90021780505456,1.97044113615207,2.00325068314263,1.99674933493292,1.79686436008901,1.80313585622481,1.99674933473182,1.9037706075541,2.0326857008602,2.00325068313383
278,1.50113554506196,1.67242547669069,1.75128063411982,1.68278802332057,1.43513588504118,1.17406664608345,1.97552373001346,1.70005678849847,1.50017387007875,1.56846636924651
279,1.68349156496997,1.60421196716983,1.80313585621301,1.83410371663373,1.5970010783592,1.49078442504118,1.73946505960847,1.50207930966268,1.50000526120572,1.70093097578114
280,1.65374454016668,1.6014140858688,1.91625874077229,1.56720810340235,1.70332932958486,1.43328509588595,1.76712919726755,1.63928249506161,1.56720810340234,1.43328509588595
281,1.883968541431,2.04387955171929,1.9515589578367,1.97044113615207,1.88636948602325,1.79686436041044,2.15696567859885,2.06760949177826,1.85612330262255,2.10679802813852
282,0.755352139547183,0.920685254302842,1.1668683390037,0.829908937831441,0.554747862395027,0.426188493647588,1.56157384888056,0.898421952496068,0.662015504781206,0.629628170041046
283,1.71696264270335,1.70332932958486,1.99674933458825,1.79686436005819,1.60299965324167,1.49078442504118,1.83410371663373,1.79686436040218,1.78088558836432,1.4335270991303
284,0.80598244351616,1.12299814919331,1.10119451553442,0.815714774252281,0.819427945961241,0.501585201433064,1.43878409403556,0.911305925864509,1.10192635016657,0.940422453659694
285,1.51492549652327,1.38132805542711,1.72035345146184,1.46801751680454,1.56157384888056,1.30703338840228,1.49731212878541,1.24367383900089,1.36679139496904,1.44815788504258
286,2.0015843391129,2.00034337354644,2.00325068325753,2.00325068324008,1.99674933478424,2.00325096845717,1.97044113615207,2.00325068321867,2.10378246375753,1.90377060755408
287,1.73964481477383,1.85017084039999,1.91625874077229,1.86981507163721,1.70005678849847,1.50000526120572,1.90065340803202,1.99674933491734,1.70005678849847,1.80313585616611
288,1.28568814018043,1.72664209400395,1.51866111152963,1.35931581600966,1.1766083582546,1.00143346743782,1.77396172685931,1.76463194001282,2.07922316846349,1.44451669558131
289,0.542864534012195,0.552867500957337,1.10389102030296,0.466095500962854,0.313952766920733,0.288505463360694,0.947069043065298,0.610865353645224,0.399381492628764,0.00800755103600386
290,1.43547731063251,1.71003362111051,1.76712919726755,1.4335270991303,1.23622361856802,1.30000058127296,1.83807477719738,1.90570678641466,1.56846636924651,1.56720810340234
291,1.61468512994977,1.50081214955858,1.90570678641466,1.65579403961574,1.63337417146514,1.30137113237608,1.70332932958486,1.56677902983965,1.39714028732174,1.36790709473461
292,1.69581654895667,1.96872953083221,1.70093097578114,1.63423910413511,1.76463194001282,1.72035345146183,2.10679802813852,2.04197891188482,1.86981507163721,1.8454646999264
293,1.99258027229789,1.98680257441786,2.0032506831923,1.9037706075541,1.9037706075541,1.90377060755409,1.9515589578367,1.9515589578367,2.00443962943248,2.00325068314388
294,1.90377060755413,1.99841570515761,1.90377060755407,1.90377060755409,1.9037706075541,1.90377060755408,1.99674933483442,1.90377060755408,1.99674933471104,2.10378246375753
295,1.30703338840228,1.43625823042274,1.78088558836432,1.23452111357679,1.1692850288043,1.03381328356424,1.70005678849847,1.63615772059958,1.10000100845368,1.30236382996207
