subNo,IP_ignore,IP_update,devI,devU,devI4-devU4,devI-devU,IPtask,IP_I1,IP_I2,IP_I3,IP_I4,IP_U1,IP_U2,IP_U3,IP_U4,devI1,devI2,devI3,devI4,devU1,devU2,devU3,devU4
117,1.7,1.6835,7.104564356,6.830631448,-1.660811772,0.273932908,1.69175,1.7671,1.6949,1.603,1.6949,1.6436,1.6949,1.6949,1.6949,7.299432014,5.780011595,10.15775681,5.583862932,5.507393335,6.358889604,8.553321715,7.244674704
118,0.88302,1.0429,12.41635956,8.463407044,12.22579195,3.952952516,0.96296,1.3007,1.2418,0.82552,0.1,1.3036,1.51,1.2402,0.1,9.275603496,11.31395782,18.24365265,18.80573334,5.919356943,9.857739445,8.46340704,6.579941391
119,1.3484,1.3289,29.66065973,11.26003672,29.42635564,18.40062301,1.33865,1.253,1.607,1.3007,1.3014,1.2362,1.1741,1.4388,1.4744,14.02019069,15.38765602,48.86050499,57.43068326,11.38593397,8.054207275,11.15433972,28.00432762
120,2.1038,2.1002,8.246522879,6.627691682,0.736629274,1.618831197,2.102,2.1038,2.1038,2.1038,2.1038,2.1966,2.0033,2.1038,2.1038,5.699846504,10.9680116,6.681030489,9.084995454,6.039372049,7.441884114,6.198606457,8.34836618
121,1.7192,1.8165,9.005711118,8.188268642,0.588143709,0.817442476,1.76785,1.8455,1.7033,1.7001,1.6341,1.603,1.9038,1.9007,1.8031,7.892676869,6.963564169,20.82526603,10.564451,5.89672034,5.180311951,11.41265563,9.976307288
122,1.4179,1.6443,19.6011716,6.97855605,22.18167666,12.62261555,1.5311,1.4634,1.5794,1.5864,1.1729,1.4412,1.7546,1.701,1.7884,10.47457105,9.884497906,39.47922124,29.9528046,9.221955081,6.590735998,5.218057893,7.771127933
125,0.63621,0.65642,31.00316159,13.0016548,24.04434826,18.00150679,0.646315,0.50321,0.56404,0.68954,0.78632,0.66583,0.63437,0.43928,0.81368,17.35035991,7.382086885,88.52317533,41.64304762,8.042339557,15.61600468,22.91223234,17.59869936
126,1.4382,1.7755,10.39069401,7.222956051,5.837028947,3.167737959,1.60685,1.6334,1.6333,1.1667,1.3125,1.8561,1.7693,1.8561,1.6342,9.663157462,22.15645058,5.993351445,13.77832438,8.099411482,6.539936967,8.395205495,7.941295431
127,1.4675,1.5035,17.19705798,9.183875083,-1.573837204,8.013182897,1.4855,1.3971,1.3014,1.5,1.7033,1.6362,1.6393,1.4351,1.3007,12.13519742,18.49870353,21.25104405,20.75747225,9.536162043,5.270160073,9.272951214,22.33130946
128,1.7753,1.8938,5.77180997,5.071512261,-1.001088986,0.700297709,1.83455,1.9833,2.0044,1.7033,1.369,1.9704,1.8455,1.9833,1.7546,7.976659501,3.691173401,5.249504055,3.98364361,4.012353611,6.177671817,4.793373344,4.984732596
129,1.9891,1.89,7.800004043,7.581966845,-0.287299494,0.218037198,1.93955,1.9038,1.9038,1.9967,1.9038,1.94,1.904,1.9038,1.9039,7.773513255,8.758005172,5.685907355,9.788517518,9.640138518,4.894866683,6.611486435,10.07581701
130,1.9038,2.0016,14.12610355,11.30765438,43.43518351,2.81844917,1.9527,1.9038,1.9038,1.9038,1.9038,2.0033,1.9967,1.9967,2.1038,9.750724307,12.42643768,23.07395444,56.01682519,12.9472631,8.714630195,10.26387973,12.58164168
131,1.2087,1.4308,8.339957159,9.882973028,-2.38706034,-1.543015869,1.31975,1.7969,1.5002,0.90028,0.59133,1.7131,1.623,1.3667,1.0338,8.017567632,9.235867417,10.10442004,5.175288125,7.142728943,12.01800292,12.65472267,7.562348466
132,1.7865,1.8785,7.608013065,4.853094902,-2.625881213,2.754918163,1.8325,1.8341,1.8031,1.9038,1.5737,1.9038,1.9968,1.9278,1.7693,5.64122964,8.76446206,14.34930423,5.055674041,4.524663195,4.746982505,5.150757763,7.681555254
