subNo,Ignore,Update,I1,I2,I3,I4,U1,U2,U3,U4
48,2.23323111754871,2.39417201991103,1.84313325610128,2.42594875232317,2.41333494329592,2.25050751847448,1.95583428419195,2.4823375075066,2.56083710625147,2.60102399823566
49,2.35688391716394,2.40536124949595,2.18777616269654,2.50092056713765,2.48216176615097,2.25667717267061,2.16884271654999,2.41366297497104,2.55107848282205,2.48837968148291
50,2.43571140141862,2.42421733161609,2.01853380198008,2.68277218355797,2.42580363186426,2.62773762739574,2.18764196804841,2.42580022281618,2.43202116023167,2.65140597536811
51,2.56313649315151,2.66587334785671,2.41975162719609,2.4884978957125,2.86172600860397,2.50123228580924,2.52622941951267,2.66111911019931,2.82700415607542,2.6477082469811
52,2.22845145607425,2.30046433609823,2.09378761806875,2.33180223684758,2.34433468835778,2.14388128102291,2.21901611218345,2.41956040757941,2.25028074719012,2.31300007743994
53,2.25587287567379,2.50099728192898,2.02484063262818,2.43206640315475,2.43377650386343,2.14392693981063,2.21927169978153,2.67652923607966,2.39447202614974,2.72789742462337
54,2.2930039162587,2.38598018680421,2.06626317864284,2.41421670496597,2.39456696534762,2.29909031909819,2.09286496344333,2.38703907839954,2.59994318676539,2.50021775658908
55,2.04030332212278,2.03707482606114,1.88682582776528,2.12481034442317,2.04343254130799,2.10614457499469,1.8115238447208,2.13737344316905,2.00570790871279,2.19369410764193
56,2.44942894950509,2.35541494491918,2.03116421616869,2.55746913136682,2.52611555106705,2.68296689941781,2.03752079853439,2.51368361001369,2.41957063460723,2.4508847365214
57,2.14752030430273,2.14266968995983,1.90568475337932,2.14994007907808,2.21966988897572,2.31929584481986,1.78018528502434,2.40067896316759,2.14361423149239,2.25310231950134
58,1.98685710707916,2.08073218198611,1.67387071385747,2.01835781725822,2.10616591328289,2.15984577570731,1.78030758729437,2.13125766656594,2.12493486262974,2.30014170675228
59,1.78976199672616,2.00277141130937,1.50474156235578,1.92440929834265,1.9620117660379,1.76788536016829,1.71760607161559,2.10620630806079,1.99336298217531,2.19391028338578
60,2.18922263749846,2.26752615201258,2.04361349504325,2.20636858016951,2.23771389485046,2.26919457993063,2.30051067977911,2.15625596576137,2.35055951285176,2.26277844965807
61,1.82414653171145,2.10139032891311,1.47332983429078,1.84919976210222,2.00574372103438,1.96831280941842,1.91811887949007,2.2063897162443,2.01836000703042,2.26269271288766
62,2.13508737459779,2.26929152461748,1.98091689182911,2.19924711815215,2.33341524687906,2.03462831962055,2.00589431903015,2.54736636529366,2.22785853727588,2.29328467771411
